tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
9.9832e+02	9.9832e+02	Years Cal BP	8.3	45.8	-32.6	54	46.7000	96.1000	7	7	0	6.8898	i		This study	unknown	Z71	Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-O:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z71	MAG	Site VGP, coord system = 100 component: HEM	100	6.8	10.7	13.5	231.5	7
9.9832e+02	9.9832e+02	Years Cal BP	2.9	35.2	-57.7	367	46.7000	96.1000	8	8	0	7.9809	i		This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z71	MID	Site VGP, coord system = 100 component: HEM	100	3.7	3.8	-0.7	249.2	8
9.9832e+02	9.9832e+02	Years Cal BP	6.2	30.6	-53.1	82	46.7000	96.1000	8	8	0	7.9142	i		This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:DE-BFL-O:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z71	HEM	Site VGP, coord system = 100 component: HEM	100	7.1	8.0	5.0	250.9	8
9.9832e+02	9.9832e+02	Years Cal BP	44.9	2.3	47.3	3	46.7000	96.1000	7	7	0	4.8269	i		This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z72	LOW	Site VGP, coord system = 100 component: HEM	0	45.4	58.1	71.7	269.7	7
9.9832e+02	9.9832e+02	Years Cal BP	4.6	175.4	-79.4	173	46.7000	96.1000	7	7	0	6.9654	i		This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z72	MAG	Site VGP, coord system = 100 component: HEM	0	17.1	6.0	-67.1	272.0	7
9.9832e+02	9.9832e+02	Years Cal BP	6.1	213.0	-80.0	99	46.7000	96.1000	7	7	0	6.9396	i		This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z72	MID	Site VGP, coord system = 100 component: HEM	0	24.1	7.9	-61.4	298.3	7
9.9832e+02	9.9832e+02	Years Cal BP	42.7	320.0	-19.0	3	46.7000	96.1000	6	6	0	4.5368	i		This study	unknown	Z72	Z72.1a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z72	HEM	Site VGP, coord system = 100 component: HEM	0	31.0	55.3	23.2	319.7	6
9.9832e+02	9.9832e+02	Years Cal BP	44.9	305.5	65.3	3	46.7000	96.1000	7	7	0	4.8267	i		This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z72	LOW	Site VGP, coord system = 100 component: HEM	100	73.7	58.1	53.6	27.7	7
9.9832e+02	9.9832e+02	Years Cal BP	4.6	54.7	-58.6	172	46.7000	96.1000	7	7	0	6.9652	i		This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z72	MAG	Site VGP, coord system = 100 component: HEM	100	6.1	6.0	-8.9	236.4	7
9.9832e+02	9.9832e+02	Years Cal BP	6.1	42.8	-61.7	99	46.7000	96.1000	7	7	0	6.9397	i		This study	unknown	Z72	Z72.1a:Z72.2a:Z72.3a:Z72.4a:Z72.5a:Z72.6a:Z72.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: Z72	MID	Site VGP, coord system = 100 component: HEM	100	8.8	7.9	-7.3	246.0	7
