tab 	pmag_sites
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_direction_type	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	unknown	Z73	Z73.1a:Z73.2a:Z73.3a:Z73.4a:Z73.5a:Z73.6a:Z73.7a:Z73.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	13.9	LOW	242.3	Site direction included in results table		54.5	9.9827e+02	9.9827e+02	Years Cal BP	17	8	8	0		7.5866	100
	This study	unknown	Z73	Z73.4a:Z73.5a:Z73.7a:Z73.8a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	10.5	MAG	216.7	Site direction included in results table		32.7	9.9827e+02	9.9827e+02	Years Cal BP	78	4	4	0		3.9615	100
	This study	unknown	Z73	Z73.1a:Z73.2a:Z73.3a:Z73.4a:Z73.5a:Z73.6a:Z73.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	14.4	MID	38.2	Site direction included in results table		-60.8	9.9827e+02	9.9827e+02	Years Cal BP	19	7	7	0		6.6764	100
	This study	unknown	Z74	Z74.1a:Z74.2a:Z74.3a:Z74.4a:Z74.5a:Z74.6a:Z74.7a:Z74.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	5.5	LOW	34.0	Site direction included in results table		73.9	9.9827e+02	9.9827e+02	Years Cal BP	101	8	8	0		7.9307	0
	This study	unknown	Z74	Z74.1a:Z74.2a:Z74.3a:Z74.4a:Z74.5a:Z74.6a:Z74.7a:Z74.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	2.6	MAG	48.6	Site direction included in results table		17.4	9.9827e+02	9.9827e+02	Years Cal BP	451	8	8	0		7.9845	0
	This study	unknown	Z74	Z74.1a:Z74.2a:Z74.3a:Z74.4a:Z74.5a:Z74.6a:Z74.7a:Z74.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	6.2	MID	299.5	Site direction included in results table		-73.3	9.9827e+02	9.9827e+02	Years Cal BP	80	8	8	0		7.9121	0
	This study	unknown	Z74	Z74.4a:Z74.5a:Z74.6a:Z74.7a:Z74.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	15.1	HEM	324.7	Site direction included in results table		-72.5	9.9827e+02	9.9827e+02	Years Cal BP	27	5	5	0		4.8507	0
	This study	unknown	Z74	Z74.1a:Z74.2a:Z74.3a:Z74.4a:Z74.5a:Z74.6a:Z74.7a:Z74.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	5.5	LOW	224.8	Site direction included in results table		67.8	9.9827e+02	9.9827e+02	Years Cal BP	101	8	8	0		7.9309	100
	This study	unknown	Z74	Z74.1a:Z74.2a:Z74.3a:Z74.4a:Z74.5a:Z74.6a:Z74.7a:Z74.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	2.6	MAG	54.2	Site direction included in results table		54.9	9.9827e+02	9.9827e+02	Years Cal BP	450	8	8	0		7.9844	100
	This study	unknown	Z74	Z74.1a:Z74.2a:Z74.3a:Z74.4a:Z74.5a:Z74.6a:Z74.7a:Z74.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	6.2	MID	13.0	Site direction included in results table		-51.8	9.9827e+02	9.9827e+02	Years Cal BP	80	8	8	0		7.9120	100
